,RegionName,Jan2000,Feb2000,Mar2000,apr2000,May2000,Jun2000,Jul2000,Aug2000,Sep2000,Oct2000,Nov2000,Dec2000,Jan2001,Feb2001,Mar2001,apr2001,May2001,Jun2001,Jul2001,Aug2001,Sep2001,Oct2001,Nov2001,Dec2001,Jan2002,Feb2002,Mar2002,apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023
10,New Jersey,169003,169459,169893,170857,171838,173010,174336,175947,177729,179531,181138,182566,183904,185379,186844,188392,189920,191622,193455,195478,197648,199911,201982,203847,205593,207391,209228,211079,212999,215155,217576,220531,223815,227268,230456,233434,236286,239050,241739,244406,247187,250186,253371,256697,259847,262714,265196,267517,269823,272196,274814,277646,280962,284577,288451,292470,296440,300347,303976,307372,310597,313662,316807,320413,324391,328601,332657,336635,340413,344163,347771,351150,354031,356755,359454,362387,365168,367579,369170,369887,369990,369541,368786,367603,366371,365474,365235,365383,365321,364557,363133,361408,359718,358177,356627,355052,353671,352567,351173,349045,346149,343171,340318,337583,334786,331825,328681,325801,323596,321799,320065,317843,315472,313080,310891,309001,307415,306255,305480,305171,305096,305171,305111,305008,304738,304274,303451,302185,300466,298444,296462,294639,293145,291735,290285,288594,286677,284620,282425,280459,278740,277201,275571,273879,272519,271982,272530,273351,274043,274070,273959,273348,273063,272860,273130,273451,274010,274556,274982,275474,276322,277328,278464,279795,281354,282901,283778,284449,285373,287029,289190,291307,293315,294507,295181,295400,295711,295899,295996,295966,295912,296009,296445,296926,297689,298222,298984,299953,301364,303036,304504,305766,306685,307292,307471,307805,308387,309247,309884,310290,310449,310718,311135,312116,313032,314008,314777,316037,317509,319081,320245,321086,321884,322894,324143,325293,326365,327315,328670,329958,331356,332533,334082,335391,336350,336760,337395,338192,339257,340555,342272,344227,345722,346801,347334,347782,348002,348640,349902,351564,353690,355734,358300,360782,362621,363325,363375,364348,367324,371935,377612,383637,389252,394959,400231,405620,410910,416146,420820,423937,425714,427258,429643,432645,436557,441175,447061,453150,459322,464500,467407,467560,465962,464804,464273,464557,465929,467338,470024,473717,479011,484140,488271,491774,494792
11,Virginia,122735,123053,123390,124026,124640,125233,125954,126803,127731,128609,129496,130403,131317,132128,132963,133836,134801,135767,136807,137855,138935,139969,141039,142054,143007,143952,144943,146063,147217,148491,149843,151285,152727,154126,155443,156666,157740,158823,159974,161314,162791,164358,166072,167844,169674,171539,173349,175090,176680,178422,180449,182875,185781,189096,192857,196813,200776,204294,207358,210303,213292,216213,219314,222844,227073,231366,235567,239357,243101,246441,249520,252063,254301,256479,258670,260662,262119,263132,264012,264593,264679,264389,264042,263818,263564,263464,263398,263551,263368,262776,261662,260422,259289,258307,257337,256057,254576,252915,250961,248738,246369,244309,242207,239884,237482,235451,233769,232251,230602,229009,227448,226054,224869,223783,222820,221822,220845,219964,219464,219372,219666,220014,220384,220782,221144,221169,220612,219704,218724,217837,216947,216237,215621,215006,214292,213615,212996,212452,211901,211413,210825,210199,209664,209403,209334,209539,210166,211132,212192,213222,214125,214934,215713,216556,217370,217961,218695,219595,220532,221293,222117,223217,224272,225280,226103,226950,227511,227938,228285,228559,229035,229596,230467,231063,231511,231793,232158,232390,232623,232879,233238,233594,233952,234332,234825,235289,235891,236630,237479,238390,239175,239968,240844,241574,241901,241927,241956,242247,242530,242882,243369,244177,245189,246268,247297,248276,249119,249957,250611,251230,251698,252214,252836,253736,254724,255759,256639,257493,258520,259371,260117,260414,261092,261813,262715,263260,263814,264358,265095,266163,267548,268922,269846,270442,270882,271500,272208,273137,274371,275885,277529,279120,280605,281850,282513,282936,283711,285585,288674,292508,296650,300605,304223,307815,311464,315374,319533,323633,326726,328359,328714,329179,330504,332850,336634,340991,345942,350717,355110,358816,360661,360797,359601,358780,358543,358666,358679,358939,359794,361602,364175,367143,369795,372029,373854
12,Washington,173917,174309,174709,175517,176398,177240,178154,178999,179768,180437,181115,181919,182760,183592,184375,185140,185802,186480,187120,187909,188626,189426,190130,190990,191717,192425,193047,193616,194114,194560,195127,195807,196483,197144,197766,198237,198768,199294,200108,201013,202148,203288,204477,205829,207222,208600,209747,210914,212149,213412,214741,216280,218256,220555,222888,225138,227236,229279,231374,233708,236110,238274,240672,243539,246918,250844,255167,259999,264613,268787,272649,276243,279442,282741,286138,290080,294059,297815,301278,304419,307189,309559,311251,312445,313343,314484,316226,318432,320395,321659,322245,322698,322903,322384,321129,319617,318115,316757,315393,313535,311089,308255,305493,302494,299429,296529,293738,290834,288217,285526,282708,279049,275601,272562,270346,268410,266805,265736,265201,264845,263875,262766,261697,261635,261873,261527,260007,257605,255190,252654,250252,247933,245965,244412,242662,240695,237864,235326,232946,231107,229222,227459,225855,224538,223620,222747,221833,220777,219893,219495,219439,219656,220286,221274,222730,224358,226338,228310,230113,231774,233671,235743,237706,239441,241140,242908,244557,246264,247968,249627,251139,252475,253921,254976,255853,256452,257275,258114,259338,260981,263111,265458,267657,269708,271719,273629,275651,277707,280068,282648,285527,288732,292243,295557,298277,300656,302939,305262,307254,309057,310902,313118,315773,318904,322256,325841,329451,333015,336080,338945,341554,344173,346652,349000,351429,354192,357409,360950,364990,368916,372771,375689,378776,381200,382956,383695,384158,384799,385525,386692,388524,390516,392251,393605,394797,396081,397306,399131,401590,404715,408164,411939,416160,420368,423042,424462,425671,428844,434553,441791,449919,457702,465258,473445,482562,492930,503521,513456,521527,526450,529287,531310,534381,538785,546819,558115,572350,585937,596247,601307,599624,592996,584136,577447,572942,569561,565154,561503,559231,559168,560450,562895,565819,568904,571248
13,Arizona,134650,134894,135208,135849,136575,137227,137890,138527,139232,139910,140564,141199,141817,142434,143053,143683,144323,144968,145581,146188,146799,147459,148143,148782,149317,149801,150327,150911,151504,152170,152892,153712,154421,155133,155776,156487,157152,157857,158507,159228,159973,160797,161652,162571,163597,164617,165503,166267,166952,167818,168871,170150,171709,173455,0,178226,180757,183368,185986,189114,192500,196638,201037,206310,212448,220173,228892,237496,246201,253791,260772,265546,268049,271251,275245,279909,282995,284700,285041,284202,282384,281064,279289,277484,275578,274231,273517,273258,272931,272009,270460,268335,265676,262994,259485,255990,252248,247752,242816,237070,232570,228176,223601,217864,212095,207035,201339,195443,189966,186464,183325,180149,176582,173551,171004,168683,166533,164243,163250,162970,162892,162045,160984,160464,159811,159009,157109,155365,153200,151463,149556,147792,145902,144117,142688,141081,139526,137852,136711,135994,135551,135370,135207,135705,136219,137060,137841,139314,141421,143948,146702,149435,152329,154961,157344,159275,161060,162745,164660,166980,169706,172568,175318,177927,180306,182430,184032,185187,186366,187622,188891,189841,190613,191163,191647,192088,192580,192865,193301,193737,194380,195068,196019,197164,198535,199900,201339,202816,204475,206176,207901,209522,211513,213386,214849,215731,216484,217345,218258,219123,220272,221411,222580,223649,224935,226424,228041,229517,230805,232132,233430,234814,236185,237575,238807,240033,241452,243081,244762,246220,247813,249448,251453,253316,255082,256521,257846,259014,260310,261877,263403,264694,265641,266614,267596,268799,270216,271899,273866,275921,278407,281126,284212,287002,288940,290271,291834,294557,298852,303937,309558,315047,320453,326070,332639,340327,349502,359588,369637,378472,385816,392341,398554,404388,410456,417358,425884,435461,444959,452902,456921,456041,450830,444363,437348,430453,423564,418178,414995,413904,414488,416234,418644,421261,423436
14,Massachusetts,194211,194859,195631,197150,198795,200577,202686,205281,208198,211278,214255,217197,219855,222283,224675,227147,229701,232383,235227,238326,241336,244545,247698,250665,253079,255146,257252,259493,261913,264429,267275,270294,273624,277462,281495,285346,288457,291315,294160,297245,300337,303147,305466,307678,310101,312736,315382,317857,320169,322482,324884,327547,330268,332847,335450,338107,341238,344364,347308,349774,352017,354640,357435,360411,362983,364748,365807,366399,367390,368588,369643,369886,369745,369133,368729,368421,368185,367617,366035,364020,361572,359380,357080,355063,353577,352538,351914,351269,350530,349494,348087,346629,345197,343583,341921,340255,338522,336556,334403,332380,330637,329088,327348,325348,322843,320133,317393,314933,312803,310768,308688,306876,305648,304857,304286,303755,303414,303142,303179,303734,304798,306179,307330,308490,309250,309851,309692,309047,307504,305765,304120,303239,302509,301462,299962,298631,297492,296711,295946,295150,293916,292297,290634,289377,288355,287582,287038,286938,287411,288342,289474,290444,291180,291849,292786,294248,296103,298151,299497,300726,302106,304176,306354,308307,310071,311895,313689,315556,317332,318919,320329,321809,323504,324806,325729,326105,326700,327000,327774,328897,330697,332665,334448,335913,337242,338352,339658,341376,343592,345874,347929,350077,352360,354429,355934,357500,359241,361075,362421,363352,364620,366488,369026,371571,373867,375838,377995,380489,383033,385334,387317,388954,390845,392612,394534,396235,398134,400201,402695,405189,407815,410056,412342,414255,415926,416664,416889,416524,416395,416897,418007,419704,420902,421961,422363,422552,422477,423094,424509,426156,428269,430664,433662,436278,437844,438549,439360,441849,446619,452966,460350,467739,474422,481031,487709,495133,502880,510209,515182,516868,516272,515881,516792,518870,524007,532122,543039,553241,561980,568481,571494,570462,566365,562872,560902,560406,559532,558851,559404,562743,568053,574153,579992,585710,590852
15,Tennessee,109745,109836,109930,110155,110414,110671,110949,111236,111579,111911,112275,112685,113153,113524,113835,114083,114368,114646,114913,115228,115561,115926,116226,116454,116618,116795,116978,117144,117329,117542,117790,118018,118255,118528,118796,119058,119253,119475,119685,119936,120210,120521,120836,121164,121500,121860,122192,122501,122793,123115,123471,123872,124276,124703,125166,125663,126185,126731,127254,127774,128256,128822,129463,130191,130942,131735,132607,133502,134384,135200,135960,136700,137333,138007,138701,139502,140301,141122,141949,142794,143571,144302,144909,145434,145810,146197,146655,147195,147732,148215,148612,148919,149064,149091,148927,148664,148228,147808,147455,147260,147124,146940,146622,146163,145621,145113,144580,144029,143522,143132,142755,142252,141593,140907,140254,139728,139294,138963,138679,138473,138374,138310,138333,138386,138472,138451,138304,138025,137645,137176,136683,136146,135537,134980,134454,134065,133664,133313,132960,132654,132361,132028,131714,131424,131284,131337,131671,132131,132518,132865,133239,133438,133659,133737,133857,133749,133620,133719,134175,134882,135695,136355,136801,137164,137490,137960,138289,138750,139159,139751,140253,140881,141610,142382,143078,143504,143797,143921,144269,144710,145247,145814,146456,147229,148109,149022,149988,150893,151836,152838,153779,154772,155801,156806,157495,158084,158620,159304,159970,160824,161900,163230,164713,166183,167394,168225,168913,169774,170704,171573,172406,173369,174544,175828,177175,178412,179569,180561,181726,182729,183734,184504,185549,186621,187649,188320,188953,189751,190904,192358,193911,195235,196314,197394,198486,199640,200667,201877,203328,204901,206657,208252,209801,211107,212035,212740,213510,214941,217360,220293,223494,226406,229321,232459,235791,239418,243565,248683,253828,257822,260508,263108,266717,271010,276332,282382,288476,294373,299225,303658,306217,307067,306351,305183,303942,302729,301538,301214,301880,303511,305289,307283,308894,310466,311706
16,Indiana,97937,97802,97651,97191,96969,97035,97512,97998,98378,98843,99401,100059,100533,100696,100694,100649,100848,101202,101631,102008,102209,102518,102759,103087,103134,103121,102951,102804,102839,103102,103459,103645,103681,103826,104047,104322,104412,104425,104385,104424,104587,104881,105224,105525,105737,106019,106274,106538,106698,106813,106960,107098,107414,107808,108257,108671,108971,109346,109676,110039,110675,111502,112391,112948,113461,114087,114765,115299,115660,115963,116215,116423,116429,116403,116270,116255,116377,116770,117233,117675,118021,118435,118760,119058,119162,119239,119234,119305,119284,119250,119128,119090,119043,119113,119329,119667,119894,119960,119920,119827,119691,119560,119365,119056,118647,118310,117999,117617,117262,116951,116773,116627,116502,116389,116168,115900,115613,115359,115211,115147,115078,115090,115107,115272,115361,115436,115377,115195,114813,114351,113824,113377,112941,112539,112194,111913,111647,111407,111277,111313,111398,111433,111363,111218,110973,110937,111119,111458,111737,112000,112284,112527,112781,113052,113185,113241,113187,113214,113224,113347,113649,114104,114630,115198,115656,116044,116132,116186,116243,116465,116706,117138,117739,118390,119079,119646,120080,120194,120268,120428,120673,120928,121205,121626,122145,122726,123249,123817,124275,124718,124953,125356,125834,126481,126879,127355,127875,128563,129090,129579,130130,130817,131521,132216,132753,133127,133489,134093,134868,135646,136403,137164,137933,138680,139577,140413,141184,141859,142818,143832,144866,145683,146505,147295,148151,148879,149698,150426,151346,152299,153467,154447,155174,155749,156360,157080,157731,158465,159380,160443,161626,162796,164067,165290,166176,166705,167208,168098,169728,171870,174559,177177,179593,182023,184805,187800,190901,194010,196710,198464,199253,200092,201482,203253,205947,209462,213515,217305,220234,222767,224004,224235,223569,223079,222942,223025,222838,222952,223463,224883,226600,228506,230029,231246,232059
17,Maryland,150340,150319,150425,150682,151220,151870,152640,153354,154084,154855,155652,156520,157237,157889,158442,159188,160060,161110,162239,163484,164758,165974,167164,168373,169589,170763,171941,173264,174920,176819,178928,181092,183208,185226,187073,188938,190683,192456,194231,196169,198317,200778,203432,206175,208929,211695,214284,216696,218898,221211,223538,226264,229376,233192,237455,242151,246815,251099,255030,258790,262573,266216,269823,274023,278801,284342,290316,296434,301726,306426,310111,313903,316950,320017,323181,326818,330508,333693,336570,338843,340323,340791,340873,340647,340449,340176,340219,340351,340412,340205,339744,339181,338367,336877,334389,331526,329048,327061,325067,322650,319477,315774,311499,307258,302955,298898,295497,292356,289292,285974,282537,279045,275771,273281,271052,269131,266914,265062,263600,262614,262067,261444,261003,260661,260734,260705,260221,258866,256983,255001,252999,250992,249139,247996,247453,246889,245893,244806,243576,242264,240706,239483,238636,237954,237175,236751,236779,237528,238280,239069,239564,239954,240620,241366,242484,243438,244707,246000,247295,248587,250210,251943,253384,254358,255265,256344,257580,258933,260252,261584,262892,264313,265544,266254,266488,266638,267172,267758,268455,268778,268854,268955,269441,270279,271092,271652,272256,272835,273591,274426,275405,276511,277675,278484,278614,278570,278756,279442,280063,280321,280652,281316,282557,283970,285337,286606,287624,288735,289570,290096,290298,290619,291480,292572,293717,294854,295883,296745,297737,298563,299508,299997,300838,301582,302483,303071,303621,304131,304806,305955,307561,309263,310428,311196,311747,312341,312791,313290,314150,315338,316845,318536,320307,321884,322568,322690,323089,324615,327614,331415,335740,339916,343785,348000,352648,357686,362597,366940,369974,371404,371505,371871,372961,374935,377851,381458,385928,390398,394565,397545,398218,396732,394120,392439,391556,391414,391779,392651,393987,395722,398079,400708,402738,404248,405031
18,Missouri,96082,96195,96364,96749,97247,97797,98395,99040,99689,100380,101129,101836,102364,102729,103134,103653,104271,104945,105635,106267,106875,107510,108186,108873,109499,110094,110608,111097,111609,112200,112840,113430,114031,114677,115347,115957,116485,117006,117514,118028,118601,119249,119921,120587,121246,121942,122604,123275,123875,124365,124737,125046,125462,125974,126609,127189,127690,128147,128648,129199,129729,130216,130676,131145,131702,132294,132900,133494,134093,134726,135326,135896,136366,136781,137139,137493,137835,138186,138545,138867,139200,139564,139936,140239,140454,140625,140774,140872,140919,140914,140886,140825,140704,140519,140210,139869,139562,139419,139317,139069,138725,138291,137835,137336,136859,136429,135878,135284,134700,134271,133946,133626,133219,132667,132037,131478,130959,130563,130429,130514,130555,130390,130328,130480,130675,130585,130203,129599,128852,128007,127130,126284,125525,124855,124131,123387,122648,122027,121524,121014,120585,120084,119649,119165,118810,118644,118700,118997,119507,120067,120614,120937,121273,121356,121325,121260,121242,121322,121436,121724,122131,122698,123321,124149,124867,125561,125806,125839,125755,125753,125847,126097,126643,127343,128103,128717,129096,129176,129268,129548,129900,130142,130446,130944,131639,132281,132989,133768,134577,135361,135950,136646,137442,138257,138695,138964,139324,139901,140365,140712,141097,141693,142497,143357,144202,145064,145894,146704,147316,147846,148288,148715,149228,149840,150540,151218,151950,152816,153980,155082,155987,156421,156792,157202,157844,158378,159019,159537,160264,161110,162166,163105,163768,164319,164712,165041,165174,165659,166417,167413,168408,169507,170740,171850,172589,172994,173745,175172,177591,180330,183258,185763,187928,190180,192866,196065,199445,202709,205075,206286,206544,207038,208251,210073,212852,216408,220608,224611,227860,230668,232204,232517,231689,230971,230560,230391,230032,229927,230443,231938,233826,235711,237170,238457,239406
19,Wisconsin,119285,119251,119384,119576,119958,120407,121001,121658,122316,122960,123559,124146,124684,125210,125735,126315,126914,127546,128218,128927,129640,130332,130990,131622,132220,132774,133278,133762,134272,134826,135408,136059,136731,137479,138175,138850,139408,139933,140516,141143,141928,142806,143806,144951,146167,147452,148442,149246,149909,150683,151480,152423,153620,155021,156596,157940,159170,160263,161381,162457,163141,163624,164080,164911,166033,167311,168625,169893,171006,171929,172681,173288,173750,174208,174602,175005,175338,175605,175773,175960,176237,176572,176842,177016,177274,177505,177772,177936,178014,178011,177822,177696,177603,177632,177596,177537,177422,177103,176525,175799,175124,174633,174155,173616,172933,171985,170843,169705,168228,167178,166298,166072,165667,165226,164620,164129,163594,163061,162486,162014,161897,162097,162464,162804,163007,162869,162407,161434,160063,158619,157233,156057,155021,154012,153096,152134,151224,150402,149576,148942,148437,147945,147517,146975,146589,146323,146272,146444,146818,147247,147580,147738,147916,148139,148252,148319,148475,148869,149368,149908,150500,151132,151674,152324,152911,153508,153629,153822,154066,154664,155349,156113,156887,157514,158021,158304,158326,158078,157915,158020,158435,158950,159546,160234,161009,161673,162178,162634,163065,163704,164366,165312,166302,167208,167786,168414,169055,169769,170068,170440,171026,172016,173113,174220,175220,176012,176794,177639,178548,179441,180322,181072,181832,182678,183699,184656,185460,186317,187541,188862,190133,191052,192318,193388,194349,194627,195087,195788,196974,198503,200164,201516,202505,203274,204074,204851,205520,206286,207231,208309,209475,210579,211830,213126,214168,214870,215556,217029,219716,223060,226342,229151,231483,233755,235936,238635,242322,246672,250544,252515,252881,252656,253067,254144,256274,259062,262427,266453,270365,273750,275150,274965,274065,273478,273466,273795,275198,276943,279527,282311,285271,287331,288416,289609,290926
20,Colorado,174334,174953,175637,177166,178874,180717,182585,184613,186742,188856,190891,192835,194784,196621,198483,200296,202106,203722,205317,206887,208363,209652,210703,211528,211996,212416,213017,213797,214678,215425,216150,216662,217197,217731,218235,218510,218602,218653,218932,219273,219530,219657,219797,219990,220243,220479,220835,221223,221569,221858,222194,222690,223337,224018,224645,225214,225558,225920,226235,226750,227323,227769,228220,228723,229414,230060,230653,231225,231761,232367,232918,233478,234036,234427,234749,235020,235540,236016,236305,236567,236625,236538,236218,236085,236041,235926,235862,235997,236399,236815,237122,237267,237081,236638,235904,235044,234037,233122,232243,231470,230606,229756,228754,227797,226994,226359,225644,224847,224081,223618,223304,223065,222768,222425,221922,221431,221017,220798,220817,221017,221517,222103,222618,222778,222492,221849,220953,219935,218871,217876,216958,216079,215335,214656,214009,213330,212431,211610,210820,210336,210067,209917,209890,209939,210206,210588,211041,211393,211946,212914,214345,216108,218134,220133,222001,223652,225334,226911,228154,229256,230519,232213,234175,236211,238172,240043,241663,243151,244397,245670,246882,248272,249770,251294,252902,254521,256490,258622,261015,263607,266546,269826,273015,276004,278746,281390,284174,287118,290218,293135,295950,298697,301522,304243,306908,309741,312530,315153,317330,319083,320702,322607,325098,328033,330880,333906,336957,340094,342734,344757,346118,347219,348519,350239,352367,354930,357703,360507,363242,365688,368025,369790,371734,373349,374944,376152,377317,378614,380089,382005,384088,385953,386936,387534,387979,388766,389582,390805,392499,394508,396763,399274,402164,404915,406228,406421,406582,408311,412067,417082,422804,428405,433796,439904,447321,455951,465284,474449,482097,487366,490646,494018,498570,504092,511547,521115,533010,544718,554249,560053,560649,556882,550864,546001,542254,539073,535507,532418,529811,528426,528306,529732,531812,534073,535928
21,Minnesota,125599,126022,126416,127339,128352,129523,130811,132575,134399,136266,137819,139445,140911,142223,143526,144937,146379,147822,149336,150984,152744,154561,156291,157771,159000,160026,160972,161873,163041,164239,165544,166727,167956,169152,170377,171707,173045,174269,175383,176439,177635,178808,180072,181290,182599,183824,185051,186228,187347,188474,189578,190841,192179,193661,195077,196352,197548,198643,199662,200667,201863,203174,204309,205520,206773,208039,209044,209777,210554,211306,212163,212862,213456,213945,214336,214706,214963,215234,215263,215133,214749,214442,214116,213994,213990,214073,213981,213693,213202,212563,211683,210868,210060,209342,208363,207125,205694,204043,202442,200886,199502,198240,196874,195174,193234,191204,189340,187658,186070,184575,182848,181251,179986,179159,178571,178088,177487,176740,175971,175517,175304,175382,175831,176371,176856,176847,176460,175441,173954,172260,170694,168947,167291,165563,164295,162992,161714,160410,159253,158377,157598,156851,156032,155188,154520,154308,154667,155318,156129,157172,158508,159950,161470,163035,164445,165729,166919,168098,169277,170347,171575,172940,174462,176169,177812,179448,180695,181857,182874,184007,185157,186206,187162,187756,188222,188553,188902,189130,189456,189898,190666,191628,192742,193916,195054,195999,196823,197640,198585,199632,200704,201977,203473,204990,206270,207471,208411,209306,209863,210466,211256,212298,213565,214962,216485,218122,219764,221561,223192,224562,225465,226076,226602,227288,228361,229817,231352,232973,234870,236790,238495,239503,240624,241574,242513,242977,243485,244218,245395,247046,248901,250489,251481,252190,252689,253170,253443,253992,254974,256308,257904,259680,261622,263356,264255,264470,264493,265307,267426,270518,274131,277696,280973,284302,287622,291318,295490,300041,304010,306208,306745,306810,307621,309073,311812,315376,319838,324361,328265,331184,331748,330434,327999,326327,325283,324413,323478,322978,323240,324208,325589,327188,328535,329635,330406
22,South Carolina,112254,112502,112704,113167,113599,114075,114537,115045,115570,116087,116602,117042,117554,118012,118486,118811,119178,119567,120044,120434,120767,121079,121405,121731,121980,122130,122260,122381,122595,122823,123149,123465,123779,124076,124394,124722,125043,125393,125731,126001,126274,126592,127048,127518,127987,128437,128874,129313,129726,130158,130615,131061,131623,132259,133019,133721,134456,135209,136012,136797,137566,138330,139188,140054,140933,141848,142930,144070,145184,146230,147231,148254,149212,150358,151435,152579,153683,154906,156167,157313,158291,159100,159712,160203,160628,161030,161405,161663,161912,162079,162244,162380,162466,162402,162268,162111,162062,161954,161697,161373,161067,160794,160296,159642,158927,158272,157419,156542,155534,154620,153866,153157,152346,151352,150429,149693,149043,148443,147985,147699,147560,147378,147130,146950,146890,146753,146396,145899,145264,144569,143880,143105,142243,141243,140420,139645,138938,138255,137724,137249,136776,136291,135837,135610,135581,135878,136281,136734,137158,137494,137719,137785,137914,138099,138240,138327,138428,138697,139115,139617,140184,140780,141290,141816,142274,142850,143198,143558,143891,144477,145011,145565,146117,146665,147216,147532,147748,147741,147896,148135,148510,148948,149526,150213,151021,151813,152630,153431,154227,155132,155989,156913,157861,158719,159243,159673,160063,160642,161103,161671,162395,163323,164238,164998,165466,165841,166224,166943,167619,168316,168925,169657,170517,171402,172405,173342,174242,175099,176138,176965,177678,178144,178961,179918,180948,181619,182235,182818,183617,184437,185381,186222,187022,187802,188556,189298,189856,190576,191563,192737,193991,195029,196128,197135,198005,198762,199764,201322,203650,206355,209279,212029,214601,217242,219973,222836,226174,230086,234032,237142,239402,241717,244617,247862,251936,256601,261899,267301,272427,277253,280580,282317,282459,282419,282315,282083,281482,280939,281048,281860,283174,284866,286254,287481,288342
23,Alabama,98478,98650,98765,99022,99309,99656,99978,100268,100580,100937,101342,101790,102291,102715,103064,103316,103565,103822,104113,104371,104661,104995,105322,105565,105709,105864,105994,106142,106330,106564,106837,107081,107341,107601,107875,108155,108398,108672,108953,109300,109609,109889,110154,110440,110750,111025,111304,111562,111830,112085,112371,112662,113021,113471,114008,114518,114986,115467,116040,116660,117192,117610,117925,118245,118595,119026,119523,120047,120588,121224,122011,122884,123772,124654,125628,126661,127683,128662,129572,130511,131329,132056,132510,132854,133050,133492,134032,134724,135143,135419,135512,135636,135735,135824,135811,135716,135511,135301,135059,134878,134761,134746,134694,134457,134169,133762,133413,132903,132475,131986,131508,130907,130315,129695,129102,128488,127902,127416,127020,126697,126498,126355,126087,125707,125256,124806,124221,123578,122989,122514,121961,121311,120616,120013,119587,119248,118989,118714,118413,118106,117759,117401,116946,116565,116423,116486,116813,117313,118213,119499,120854,121861,122796,123627,124515,125121,125409,125570,125807,126274,126936,127513,127901,128255,128549,129030,129332,129721,130059,130562,130947,131334,131688,131947,132252,132522,132658,132424,132153,131985,131883,131774,131873,132366,132991,133514,133870,134200,134490,134896,135273,135815,136422,137101,137449,137797,138007,138348,138413,138587,138887,139395,139895,140400,140836,141145,141336,141516,141648,141749,142018,142474,143086,143716,144374,144957,145476,145902,146596,147132,147619,147783,148210,148723,149333,149614,150034,150565,151473,152554,153808,154789,155437,155959,156611,157386,157982,158754,159807,161159,162417,163467,164543,165662,166610,167414,168270,169552,171450,173599,175879,177835,179663,181557,183624,185926,188510,191462,194389,196674,198150,199559,201496,203619,205970,208283,210780,213495,215935,218428,219877,220703,220575,220251,219708,219213,218791,218556,218916,219965,221532,222923,223603,223654,223447
